Section,d (in.),bf (in.),tf (in.),tw (in.),k (in.),Area (in.^2),Ix (in.^4),Iy (in.^4),Sx (in.^3),Sy (in.^3),Zx (in.^3),Zy (in.^3),Rx (in.),Ry (in.),J (in.^4)
W16X45,16.1,7.04,0.565,0.345,0.967,13.3,586,32.8,72.7,9.34,82.3,14.5,6.65,1.57,1.11
W16X40,16,7,0.505,0.305,0.907,11.8,518,28.9,64.7,8.25,73,12.7,6.63,1.57,0.794
W16X36,15.9,6.99,0.43,0.295,0.832,10.6,448,24.5,56.5,7,64,10.8,6.51,1.52,0.545
W16X31,15.9,5.53,0.44,0.275,0.842,9.13,375,12.4,47.2,4.49,54,7.03,6.41,1.17,0.461
W16X26,15.7,5.5,0.345,0.25,0.747,7.68,301,9.59,38.4,3.49,44.2,5.48,6.26,1.12,0.262
W14X873,23.6,18.8,5.51,3.94,6.1,257,18100,6170,1530,656,2030,1020,8.39,4.9,2270
W14X808,22.8,18.6,5.12,3.74,5.71,238,15900,5550,1390,597,1830,930,8.17,4.83,1840
W14X730,22.4,17.9,4.91,3.07,5.51,215,14300,4720,1280,527,1660,816,8.17,4.69,1450
W14X665,21.6,17.7,4.52,2.83,5.12,196,12400,4170,1150,472,1480,730,7.98,4.62,1120
W14X605,20.9,17.4,4.16,2.6,4.76,178,10800,3680,1040,423,1320,652,7.8,4.55,869
W14X550,20.2,17.2,3.82,2.38,4.42,162,9430,3250,931,378,1180,583,7.63,4.49,669
W14X500,19.6,17,3.5,2.19,4.1,147,8210,2880,838,339,1050,522,7.48,4.43,514
W14X455,19,16.8,3.21,2.02,3.81,134,7190,2560,756,304,936,468,7.33,4.38,395
W14X426,18.7,16.7,3.04,1.88,3.63,125,6600,2360,706,283,869,434,7.26,4.34,331
W14X398,18.3,16.6,2.85,1.77,3.44,117,6000,2170,656,262,801,402,7.16,4.31,273
W14X370,17.9,16.5,2.66,1.66,3.26,109,5440,1990,607,241,736,370,7.07,4.27,222
W14X342,17.5,16.4,2.47,1.54,3.07,101,4900,1810,558,221,672,338,6.98,4.24,178
W14X311,17.1,16.2,2.26,1.41,2.86,91.4,4330,1610,506,199,603,304,6.88,4.2,136
W14X283,16.7,16.1,2.07,1.29,2.67,83.3,3840,1440,459,179,542,274,6.79,4.17,104
W14X257,16.4,16,1.89,1.18,2.49,75.6,3400,1290,415,161,487,246,6.71,4.13,79.1
W14X233,16,15.9,1.72,1.07,2.32,68.5,3010,1150,375,145,436,221,6.63,4.1,59.5
W14X211,15.7,15.8,1.56,0.98,2.16,62,2660,1030,338,130,390,198,6.55,4.07,44.6
W14X193,15.5,15.7,1.44,0.89,2.04,56.8,2400,931,310,119,355,180,6.5,4.05,34.8
W14X176,15.2,15.7,1.31,0.83,1.91,51.8,2140,838,281,107,320,163,6.43,4.02,26.5
W14X159,15,15.6,1.19,0.745,1.79,46.7,1900,748,254,96.2,287,146,6.38,4,19.7
W14X145,14.8,15.5,1.09,0.68,1.69,42.7,1710,677,232,87.3,260,133,6.33,3.98,15.2
W14X132,14.7,14.7,1.03,0.645,1.63,38.8,1530,548,209,74.5,234,113,6.28,3.76,12.3
